dog [dɔːɡ] - собака
cat [kæt] - кошка
bird [bɜːrd] - птица
fish [fɪʃ] - рыба
rabbit [ˈræbɪt] - кролик
hamster [ˈhæmstər] - хомяк
guinea pig [ˈɡɪni pɪɡ] - морская свинка
parrot [ˈpærət] - попугай
turtle [ˈtɜːrtəl] - черепаха
snake [sneɪk] - змея
lizard [ˈlɪzərd] - ящерица
horse [hɔːrs] - лошадь
cow [kaʊ] - корова
pig [pɪɡ] - свинья
sheep [ʃiːp] - овца
goat [ɡoʊt] - коза
duck [dʌk] - утка
chicken [ˈtʃɪkən] - курица
rooster [ˈruːstər] - петух
goose [ɡuːs] - гусь
deer [dɪr] - олень
bear [ber] - медведь
lion [ˈlaɪən] - лев
tiger [ˈtaɪɡər] - тигр
elephant [ˈeləfənt] - слон
giraffe [dʒəˈræf] - жираф
zebra [ˈziːbrə] - зебра
monkey [ˈmʌŋki] - обезьяна
kangaroo [ˌkæŋɡəˈruː] - кенгуру
panda [ˈpændə] - панда
fox [fɑːks] - лиса
wolf [wʊlf] - волк
crocodile [ˈkrɑːkədaɪl] - крокодил
alligator [ˈæləˌɡeɪtər] - аллигатор
dolphin [ˈdɑːlfɪn] - дельфин
whale [weɪl] - кит
shark [ʃɑːrk] - акула
octopus [ˈɑːktəpəs] - осьминог
crab [kræb] - краб
bee [biː] - пчела
butterfly [ˈbʌtərflaɪ] - бабочка
ant [ænt] - муравей
spider [ˈspaɪdər] - паук
snail [sneɪl] - улитка
frog [frɔːɡ] - лягушка
squirrel [ˈskwɜːrəl] - белка
raccoon [ræˈkuːn] - енот
bat [bæt] - летучая мышь
hedgehog [ˈhedʒhɔːɡ] - ёжик
seal [siːl] - тюлень
penguin [ˈpeŋɡwɪn] - пингвин
polar bear [ˈpoʊlər ber] - белый медведь
cheetah [ˈtʃiːtə] - гепард
camel [ˈkæməl] - верблюд
shrimp [ʃrɪmp] - креветка
crayfish [ˈkreɪfɪʃ] - раки
seagull [ˈsiːɡʌl] - чайка
pelican [ˈpelɪkən] - пеликан
swan [swɑːn] - лебедь
ostrich [ˈɔːstrɪtʃ] - страус
peacock [ˈpiːkɑːk] - павлин
flamingo [fləˈmɪŋɡoʊ] - фламинго
parakeet [ˈpærəkiːt] - волнистый попугайчик
canary [kəˈneri] - канарейка
goldfish [ˈɡoʊldfɪʃ] - золотая рыбка
iguana [ɪˈɡwɑːnə] - игуана
porcupine [ˈpɔːrkjəpaɪn] - дикобраз
otter [ˈɑːtər] - выдра
mole [moʊl] - крот
koala [koʊˈɑːlə] - коала
