Monday [ˈmʌndeɪ] - понедельник
Tuesday [ˈtuːzdeɪ] - вторник
Wednesday [ˈwenzdeɪ] - среда
Thursday [ˈθɜːrzdeɪ] - четверг
Friday [ˈfraɪdeɪ] - пятница
Saturday [ˈsætərdeɪ] - суббота
Sunday [ˈsʌndeɪ] - воскресенье
January [ˈdʒænjueri] - январь
February [ˈfebrueri] - февраль
March [mɑːrtʃ] - март
April [ˈeɪprəl] - апрель
May [meɪ] - май
June [dʒuːn] - июнь
July [dʒuˈlaɪ] - июль
August [ˈɔːɡəst] - август
September [sepˈtembər] - сентябрь
October [ɑːkˈtoʊbər] - октябрь
November [noʊˈvembər] - ноябрь
December [dɪˈsembər] - декабрь
spring [sprɪŋ] - весна
summer [ˈsʌmər] - лето
autumn [ˈɔːtəm] - осень
winter [ˈwɪntər] - зима
day [deɪ] - день
night [naɪt] - ночь
morning [ˈmɔːrnɪŋ] - утро
afternoon [ˌæftərˈnuːn] - после полудня
evening [ˈiːvnɪŋ] - вечер
week [wiːk] - неделя
month [mʌnθ] - месяц
year [jɪr] - год
today [təˈdeɪ] - сегодня
tomorrow [təˈmɔːroʊ] - завтра
yesterday [ˈjestərdeɪ] - вчера
weekend [ˈwiːkend] - выходные
weekday [ˈwiːkdeɪ] - будний день
holiday [ˈhɑːlədeɪ] - праздник
season [ˈsiːzən] - сезон
calendar [ˈkælɪndər] - календарь
decade [ˈdekeɪd] - десятилетие
century [ˈsentʃəri] - век
hour [aʊər] - час
minute [ˈmɪnɪt] - минута
second [ˈsekənd] - секунда
dawn [dɔːn] - рассвет
dusk [dʌsk] - сумерки
midnight [ˈmɪdnaɪt] - полночь
sunrise [ˈsʌnraɪz] - восход
sunset [ˈsʌnset] - закат
solstice [ˈsɑːlstɪs] - солнцестояние
equinox [ˈiːkwɪnɑːks] - равноденствие
annual [ˈænjuəl] - ежегодный
monthly [ˈmʌnθli] - ежемесячный
weekly [ˈwiːkli] - еженедельный
daily [ˈdeɪli] - ежедневный
era [ˈɪrə] - эпоха
period [ˈpɪriəd] - период
duration [duˈreɪʃən] - продолжительность
future [ˈfjuːtʃər] - будущее
past [pæst] - прошлое
present [ˈprezənt] - настоящее
moment [ˈmoʊmənt] - момент
time [taɪm] - время
timeline [ˈtaɪmlaɪn] - временная линия
instant [ˈɪnstənt] - мгновение
noon [nuːn] - полдень
seasonality [ˌsiːzəˈnæləti] - сезонность
timeframe [ˈtaɪmfreɪm] - временной промежуток
chronology [krəˈnɑːlədʒi] - хронология
schedule [ˈskedʒuːl] - расписание
