apple [ˈæpəl] - яблоко
book [bʊk] - книга
car [kɑːr] - машина, автомобиль
dog [dɔːɡ] - собака
chair [tʃer] - стул
table [ˈteɪbəl] - стол
water [ˈwɔːtər] - вода
food [fuːd] - еда, пища
house [haʊs] - дом
family [ˈfæməli] - семья
friend [frend] - друг
school [skuːl] - школа
pen [pen] - ручка
pencil [ˈpensəl] - карандаш
phone [foʊn] - телефон
door [dɔːr] - дверь
window [ˈwɪndoʊ] - окно
bed [bed] - кровать
computer [kəmˈpjuːtər] - компьютер
bus [bʌs] - автобус
road [roʊd] - дорога
tree [triː] - дерево
flower [ˈflaʊər] - цветок
sun [sʌn] - солнце
moon [muːn] - луна
star [stɑːr] - звезда
sky [skaɪ] - небо
rain [reɪn] - дождь
snow [snoʊ] - снег
wind [wɪnd] - ветер
fire [ˈfaɪər] - огонь
earth [ɜːrθ] - земля
music [ˈmjuːzɪk] - музыка
movie [ˈmuːvi] - фильм
song [sɔːŋ] - песня
breakfast [ˈbrekfəst] - завтрак
lunch [lʌntʃ] - обед
dinner [ˈdɪnər] - ужин
coffee [ˈkɔːfi] - кофе
tea [tiː] - чай
bread [bred] - хлеб
cheese [tʃiːz] - сыр
fruit [fruːt] - фрукт
vegetable [ˈvedʒtəbəl] - овощ
meat [miːt] - мясо
fish [fɪʃ] - рыба
egg [eɡ] - яйцо
milk [mɪlk] - молоко
sugar [ˈʃʊɡər] - сахар
salt [sɔːlt] - соль
pepper [ˈpepər] - перец
chicken [ˈtʃɪkən] - курица
beef [biːf] - говядина
rice [raɪs] - рис
soup [suːp] - суп
salad [ˈsæləd] - салат
juice [dʒuːs] - сок
butter [ˈbʌtər] - масло
cake [keɪk] - торт
cookie [ˈkʊki] - печенье
park [pɑːrk] - парк
street [striːt] - улица
shop [ʃɑːp] - магазин
market [ˈmɑːrkət] - рынок
bank [bæŋk] - банк
hospital [ˈhɑːspɪtəl] - больница
church [tʃɜːrtʃ] - церковь
train [treɪn] - поезд
airplane [ˈerpleɪn] - самолёт
bicycle [ˈbaɪsɪkəl] - велосипед
