head [hed] - голова
hair [her] - волосы
face [feɪs] - лицо
eye [aɪ] - глаз
ear [ɪr] - ухо
nose [noʊz] - нос
mouth [maʊθ] - рот
tooth [tuːθ] - зуб
tongue [tʌŋ] - язык
chin [tʃɪn] - подбородок
cheek [tʃiːk] - щека
forehead [ˈfɔːrhed] - лоб
neck [nek] - шея
shoulder [ˈʃoʊldər] - плечо
arm [ɑːrm] - рука
elbow [ˈelboʊ] - локоть
hand [hænd] - кисть
finger [ˈfɪŋɡər] - палец
thumb [θʌm] - большой палец
nail [neɪl] - ноготь
chest [tʃest] - грудь
stomach [ˈstʌmək] - живот
back [bæk] - спина
waist [weɪst] - талия
hip [hɪp] - бедро
leg [leɡ] - нога
knee [niː] - колено
ankle [ˈæŋkəl] - лодыжка
foot [fʊt] - ступня
toe [toʊ] - палец ноги
skin [skɪn] - кожа
bone [boʊn] - кость
muscle [ˈmʌsəl] - мышца
heart [hɑːrt] - сердце
lung [lʌŋ] - лёгкое
blood [blʌd] - кровь
brain [breɪn] - мозг
doctor [ˈdɑːktər] - врач
nurse [nɜːrs] - медсестра
hospital [ˈhɑːspɪtəl] - больница
medicine [ˈmedəsən] - лекарство
pill [pɪl] - таблетка
vitamin [ˈvaɪtəmɪn] - витамин
exercise [ˈeksərsaɪz] - упражнение
walk [wɔːk] - прогулка
run [rʌn] - бег
sleep [sliːp] - сон
healthy [ˈhelθi] - здоровый
sick [sɪk] - больной
pain [peɪn] - боль
fever [ˈfiːvər] - жар
cough [kɔːf] - кашель
cold [koʊld] - простуда
allergy [ˈælərdʒi] - аллергия
treatment [ˈtriːtmənt] - лечение
clinic [ˈklɪnɪk] - клиника
appointment [əˈpɔɪntmənt] - приём
diagnosis [ˌdaɪəɡˈnoʊsɪs] - диагноз
symptom [ˈsɪmptəm] - симптом
recovery [rɪˈkʌvəri] - восстановление
injury [ˈɪndʒəri] - травма
cut [kʌt] - порез
bruise [bruːz] - синяк
bandage [ˈbændɪdʒ] - бинт
injection [ɪnˈdʒekʃən] - укол
vaccine [vækˈsiːn] - вакцина
surgery [ˈsɜːrdʒəri] - операция
therapy [ˈθerəpi] - терапия
stress [stres] - стресс
relaxation [ˌriːlækˈseɪʃən] - расслабление
