abstruse - трудный для понимания  
acquiescence - молчаливое согласие  
adumbrate - предвещать, намечать в общих чертах  
anachronistic - устаревший, неуместный во времени  
apocryphal - недостоверный, сомнительный  
assiduity - усердие, прилежание  
blandishment - лесть, угодничество  
bombastic - напыщенный, высокопарный  
cacophony - какофония, неприятное сочетание звуков  
cogitation - размышление, обдумывание  
concatenation - последовательность, цепочка событий  
contumacious - непокорный, упрямый  
conundrum - загадка, головоломка  
corpulent - тучный, полный  
credulity - доверчивость, легковерие  
deleterious - вредный, пагубный  
desultory - несвязный, беспорядочный  
diaphanous - прозрачный, просвечивающий  
diffident - застенчивый, неуверенный  
effulgent - сверкающий, сияющий  
ephemeral - мимолетный, недолговечный  
equanimity - хладнокровие, невозмутимость  
expatiate - распространяться в рассуждениях  
expropriate - конфисковать, экспроприировать  
grandiloquent - напыщенный, высокопарный  
histrionic - театральный, наигранный  
impecunious - безденежный, бедный  
inchoate - зачаточный, неразвитый  
inexorable - неумолимый, непреклонный  
insouciance - беззаботность, беспечность  
lachrymose - плаксивый, слезливый  
languid - вялый, томный  
malfeasance - должностное преступление  
meretricious - показной, фальшивый  
munificent - щедрый, великодушный  
nadir - низшая точка, упадок  
nefarious - гнусный, мерзкий  
obsequious - угодливый, подобострастный  
pellucid - прозрачный, ясный  
peremptory - властный, безапелляционный  
acumen – проницательность, смекалка
admonitory – предостерегающий
afflatus – внезапное озарение, вдохновение
agglomeration – скопление, сгущение
amalgamate – объединять, смешивать
ambivalence – двойственность, неопределённость
amenable – восприимчивый, покорный
anodyne – обезболивающее, успокаивающее
anomie – аномия, отсутствие социальных норм
antipathy – антипатия, отвращение
antiquated – устаревший, архаичный
antithetical – противоположный, антагонистичный
aperture – отверстие, щель
approbation – одобрение, признание
arcane – тайный, загадочный
arrogate – присваивать себе, узурпировать
ascetic – аскетичный, воздержанный
aspersion – клевета, порочащие высказывания
atypical – нетипичный, необычный
avarice – жадность, скупость
aver – утверждать, заявлять
baleful – зловещий, угрожающий
beatific – блаженный, радостный
belie – опровергать, искажать
beneficent – благотворительный, доброжелательный
benign – доброкачественный, безвредный
bifurcate – раздваиваться, расходиться
bilk – обманывать, мошенничать
bourgeoisie – буржуазия, зажиточное сословие
bridle – сдерживать, обуздывать
bucolic – пасторальный, сельский
burgeon – стремительно расти, разрастаться
calumniate – клеветать, очернять
camaraderie – товарищество, дружеская сплочённость
candor – откровенность, прямота
capitulation – капитуляция, сдача
cardinal – основной, первостепенный; кардинальный
censure – осуждать, порицать
circumscribe – ограничивать, очерчивать
circumlocution – эвфемизм, обходное выражение
circumvention – обход, уклонение
clamor – шум, вопль
clarion – ясный, звонкий
clemency – снисхождение, милосердие
coda – заключительная часть, финал
cognizance – осведомлённость, знание
compendium – краткое изложение, сборник
complaisance – уступчивость, услужливость
conflagration – пожарище, крупный пожар
congenital – врождённый, прирождённый
connivance – потворство, сговор
consecrate – освящать, посвящать
consort – общаться, сопровождать
constituent – составляющая часть, компонент
contiguous – смежный, прилегающий
convergence – схождение, сближение
conviviality – весёлость, общительность
corroboration – подтверждение, подкрепление
cosmopolitan – космополитичный, всемирный
covetous – жадный, алчный
crass – грубый, невоспитанный
credence – доверие, вера
crestfallen – подавленный, разочарованный
crux – суть, основной момент
culpability – виновность, ответственность
cumbrous – громоздкий, неудобный
curmudgeon – сварливый, ворчливый человек
debility – немощь, слабость
debonair – обаятельный, утончённый
decadence – упадок, декаданс
decorum – приличие, благоразумие
decrepitude – старость, ветхость
defalcation – растрата, хищение
defenestration – выбрасывание из окна
demarcation – разграничение, разделение
demur – возражать, воздерживаться
denouement – развязка, итог
dereliction – халатность, бездействие
desideratum – необходимое условие, требуемое
deteriorate – ухудшаться, разлагаться
didactic – поучительный, наставнический
disabuse – избавлять от заблуждений
discerning – проницательный, разборчивый
discomposure – растерянность, смущение
disconsolate – безутешный, подавленный
discrepancy – несоответствие, расхождение
disdain – презрение, пренебрежение
disparage – унижать, принижать
dispassionate – объективный, бесстрастный
disquisition – трактат, подробное изложение
dissolution – распад, растворение
dissonant – несогласный, дисгармоничный
divagation – отклонение, блуждание
divestiture – отчуждение, продажа части активов
dolorous – печальный, скорбный
doltish – тупой, неразумный
ebullience – кипучесть, жизнерадостность
eccentricity – эксцентричность, своеобразие
eclecticism – эклектизм, смешение стилей
edification – наставление, просвещение
efficacy – эффективность, действенность
elocution – красноречие, дикция
elucidation – разъяснение, толкование
emendation – исправление, редактура
empowerment – наделение полномочиями
encomium – восхваление, панегирик
encumbrance – обременение, помеха
endemic – эндемичный, присущий
enervating – изнуряющий, ослабляющий
enfranchise – наделять избирательным правом
enjoin – предписывать, приказывать
enmity – вражда, неприязнь
ennoble – возвышать, благородить
entreat – умолять, настоятельно просить
entrenched – укоренившийся, устоявшийся
epistolary – относящийся к письмам
errant – заблудший, ошибочный
erstwhile – бывший, прежний
espouse – поддерживать, отстаивать
ethereal – неземной, воздушный
eulogy – панегирик, хвалебная речь
exaction – вымогательство, чрезмерный сбор
exegesis – толкование, анализ (текста)
exigent – неотложный, настоятельный
expediency – целесообразность, прагматизм
expurgation – цензура, вырезание непристойного
extemporaneous – импровизированный, экспромтный
extrapolate – экстраполировать, делать вывод
fastidious – привередливый, дотошный
fecund – плодородный, плодовитый
felicitous – удачный, уместный
ferret – выискивать, выслеживать
fervor – пыл, жар
fetid – зловонный, гнилой
flummox – ставить в тупик, сбивать с толку
foment – разжигать, подстрекать
foreboding – предчувствие, мрачное предзнаменование
forensic – судебный, криминалистический
fractious – сварливый, капризный
fructify – приносить плод, обогащать
